"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.424275100E-1,9.332008660E-2,7.180262566E0,6.857231617E0
3.445239060E-1,2.033899277E-1,7.155735970E0,6.823731899E0
3.466304630E-1,3.463610709E-1,7.079165936E0,6.747161865E0
3.487314970E-1,4.564309120E-1,7.068996429E0,6.656234264E0
3.508324480E-1,5.515456200E-1,7.078567505E0,6.541378975E0
3.529317130E-1,6.466603279E-1,7.058826923E0,6.421737671E0
3.550308130E-1,7.411768436E-1,7.025327206E0,6.254240036E0
3.571312670E-1,8.075776696E-1,7.025327206E0,6.067600250E0
3.592319550E-1,8.877372146E-1,6.967301369E0,5.843272686E0
3.613340770E-1,9.445667267E-1,6.905087948E0,5.666802406E0
3.634370840E-1,9.720842242E-1,6.962515831E0,5.436492920E0
3.655425230E-1,1.004985452E0,6.938587666E0,5.288736343E0
3.676229270E-1,9.996016622E-1,6.972086906E0,5.202594757E0
3.697262990E-1,1.080957651E0,6.976274490E0,5.101497650E0
3.718342910E-1,1.089930773E0,6.990631580E0,5.034498692E0
3.739397290E-1,1.113858938E0,7.000202656E0,4.981856823E0
3.760376500E-1,1.109073281E0,7.033702374E0,4.943571568E0
3.781280740E-1,1.089332461E0,7.067201614E0,4.909473896E0
3.802390250E-1,1.070788145E0,7.134200573E0,4.918447018E0
3.823403430E-1,1.027717352E0,7.186842918E0,4.956133842E0
3.844425470E-1,9.852447510E-1,7.201199532E0,5.023132801E0
3.865408340E-1,9.236295223E-1,7.268198967E0,5.113461971E0
3.886408200E-1,9.050851464E-1,7.325626373E0,5.203791142E0
3.907417820E-1,8.530412912E-1,7.421339512E0,5.327619553E0
3.928420730E-1,8.009973764E-1,7.493124008E0,5.417948723E0
3.949430760E-1,7.058826685E-1,7.575078487E0,5.517848969E0
3.970434090E-1,5.533402562E-1,7.718647480E0,5.569294930E0
3.991451240E-1,4.103690982E-1,7.838288784E0,5.654838085E0
4.012446410E-1,2.434697002E-1,7.992027760E0,5.758925915E0
4.033457050E-1,9.571290761E-2,8.130811691E0,5.815755367E0
4.054460980E-1,-9.032905847E-2,8.260622025E0,5.900700569E0
4.075458400E-1,-2.955136001E-1,8.399405479E0,5.928816319E0
4.096438110E-1,-4.965106845E-1,8.543573380E0,5.937789440E0
4.117367570E-1,-6.544370055E-1,8.592027664E0,5.918646812E0
4.138480960E-1,-8.075776696E-1,8.650053978E0,5.880361557E0
4.159475230E-1,-9.080761671E-1,8.654839516E0,5.827719688E0
4.180499700E-1,-1.009172916E0,8.621937752E0,5.813961029E0
4.201500470E-1,-1.004387259E0,8.578866959E0,5.819344521E0
4.222530340E-1,-8.225327730E-1,8.425128937E0,5.824728489E0
4.243512090E-1,-6.412764788E-1,8.257631302E0,5.792425632E0
4.264508180E-1,-3.882354796E-1,8.008178711E0,5.779862881E0
4.285507030E-1,-1.208375469E-1,7.773084164E0,5.785845280E0
4.306496200E-1,6.999006122E-2,7.576872826E0,5.753541946E0
4.327435030E-1,2.997010350E-1,7.389634609E0,5.783452511E0
4.348534780E-1,3.523431420E-1,7.322635651E0,5.812764645E0
4.369554580E-1,4.432703853E-1,7.303493023E0,5.822335720E0
4.390620970E-1,5.958128572E-1,7.221538544E0,5.736792088E0
4.411549400E-1,6.813562512E-1,7.211967468E0,5.554937840E0
4.432553230E-1,6.801598072E-1,7.274180889E0,5.338985443E0
4.453549530E-1,7.034898400E-1,7.326224804E0,5.147559643E0
4.474566990E-1,6.598208547E-1,7.417151928E0,4.945964336E0
4.495583930E-1,6.209374666E-1,7.475177765E0,4.782654285E0
4.516573210E-1,5.916253924E-1,7.518248558E0,4.672584534E0
4.537554860E-1,5.479564071E-1,7.575676441E0,4.438087940E0
4.558480360E-1,4.701896608E-1,7.585247993E0,4.184448719E0
4.579591400E-1,3.158525825E-1,7.619345665E0,3.969692707E0
4.600596950E-1,1.950150430E-1,7.639086246E0,3.778266907E0
4.621627130E-1,1.734796353E-2,7.716254711E0,3.605983734E0
4.642572770E-1,-5.503492057E-2,7.682755470E0,3.486940861E0
4.663475380E-1,-1.746760458E-1,7.726424217E0,3.410370588E0
4.684625180E-1,5.682953820E-2,7.625327587E0,3.946362734E0
4.705626970E-1,-8.374879137E-3,7.587042332E0,4.305285931E0
4.726677490E-1,-2.656033039E-1,7.668996811E0,4.506283283E0
4.747645510E-1,-4.037888348E-1,7.645666599E0,4.668995380E0
4.768646590E-1,-5.180460811E-1,7.593622684E0,4.846662045E0
4.789647670E-1,-5.892325640E-1,7.517052174E0,5.039284706E0
4.810651590E-1,-7.746763229E-1,7.498507977E0,5.292923450E0
4.831663040E-1,-1.122832060E0,7.581060410E0,5.546562672E0
4.852645210E-1,-1.447657704E0,7.667799950E0,5.666203976E0
4.873631840E-1,-1.658226132E0,7.811967850E0,5.593821049E0
4.894571980E-1,-1.760519266E0,8.175676346E0,5.093721390E0
4.915682920E-1,-1.698305845E0,8.118248940E0,5.146363258E0
4.936689190E-1,-1.610369682E0,7.969295979E0,5.544169903E0
4.957717840E-1,-1.512862086E0,7.830512047E0,5.975476265E0
4.978673550E-1,-1.405783296E0,7.715656757E0,6.406782627E0
4.999588150E-1,-1.222134113E0,7.628916740E0,6.866204739E0
5.020583950E-1,-1.104885817E0,7.575676441E0,7.329813957E0
5.041616570E-1,-9.403793216E-1,7.512865067E0,7.803592682E0
5.062745310E-1,-6.945167780E-1,7.454838753E0,8.123632431E0
5.083728490E-1,-6.388836503E-1,7.746165276E0,8.641678810E0
5.104677570E-1,-3.212364316E-1,7.692326546E0,8.990432739E0
5.125715580E-1,-1.525424421E-1,7.701299667E0,9.305686951E0
5.146619310E-1,-4.965107143E-2,7.877171993E0,9.743574142E0
5.167677150E-1,5.682953820E-2,7.905886173E0,9.938589096E0
5.188740900E-1,1.148554832E-1,7.967501163E0,9.981060982E0
5.209726810E-1,3.110669553E-1,7.942974567E0,1.002353382E1
5.230707760E-1,4.151547253E-1,7.919046402E0,9.799206734E0
5.251772210E-1,4.959124923E-1,7.913662910E0,9.650852203E0
5.272781940E-1,4.570291340E-1,7.966304779E0,9.425328255E0
5.293798970E-1,6.999006271E-1,7.946564198E0,9.133403778E0
5.314767200E-1,8.512466550E-1,8.060821533E0,8.711071014E0
5.335705210E-1,9.744769931E-1,8.213363647E0,8.350951195E0
5.356794900E-1,1.025922656E0,8.423334122E0,8.014161110E0
5.377768810E-1,1.081555843E0,8.599804878E0,7.548757076E0
5.398702440E-1,1.200000525E0,8.761918068E0,7.088139057E0
5.419779820E-1,1.231107235E0,8.972486496E0,6.555137634E0
5.440687520E-1,1.248455167E0,9.110671997E0,6.071189404E0
5.461840270E-1,1.055234790E0,9.350552559E0,5.615356445E0
5.482820400E-1,1.034895778E0,9.465408325E0,5.241477966E0
5.503882910E-1,9.230313301E-1,9.608977318E0,4.752744198E0
5.524817250E-1,7.609176040E-1,9.748359680E0,3.795614958E0
5.545749160E-1,3.655036688E-1,1.007019424E1,1.015753269E0
5.566849430E-1,2.985046208E-1,1.027657509E1,-3.230908871E0
5.587856400E-1,4.666004181E-1,1.033938694E1,-8.357531548E0
5.608886870E-1,4.851447940E-1,1.044467068E1,-1.060499001E1
5.629865780E-1,3.583251834E-1,1.048774147E1,-7.990232944E0
5.650850690E-1,2.327020019E-1,1.032443142E1,-2.963510752E0
5.671787070E-1,3.008974493E-1,9.979865074E0,1.509272933E0
5.692883360E-1,4.713860750E-1,9.510273933E0,4.491926193E0
5.713889120E-1,6.735795736E-1,8.979066849E0,6.078966141E0
5.734917060E-1,8.482556343E-1,8.467002869E0,6.776473522E0
5.755858930E-1,9.678967595E-1,7.984251022E0,7.105486870E0
5.776741710E-1,9.595218897E-1,7.654639721E0,7.490731239E0
5.797912960E-1,8.123632669E-1,7.516454220E0,7.918448448E0
5.818919640E-1,5.844469070E-1,7.545766354E0,8.210372925E0
5.839973510E-1,3.888336718E-1,7.728219032E0,8.247461319E0
5.860932380E-1,2.398804724E-1,7.962715626E0,8.059026718E0
5.881951670E-1,1.477568001E-1,8.201997757E0,7.722237110E0
5.902940030E-1,1.136590764E-1,8.440681458E0,7.457231998E0
5.923971530E-1,1.417747438E-1,8.636893272E0,7.230511665E0
5.945048190E-1,2.231307179E-1,8.842078209E0,7.032505512E0
5.965956390E-1,3.182454109E-1,9.013762474E0,6.844070911E0
5.986973240E-1,4.325026870E-1,9.171091080E0,6.651448727E0
6.007953350E-1,5.371887088E-1,9.323633194E0,6.362515450E0
6.028968880E-1,6.604190469E-1,9.466604233E0,6.026323795E0
6.049963040E-1,7.836494446E-1,9.609575272E0,5.704489231E0
6.070974300E-1,8.404789567E-1,9.771689415E0,5.439484119E0
6.091951270E-1,9.732806087E-1,9.814162254E0,5.194818020E0
6.112896190E-1,1.116251707E0,9.785448074E0,5.065605640E0
6.134003470E-1,1.264008522E0,9.736993790E0,4.980062008E0
6.155010040E-1,1.364507079E0,9.626923561E0,4.990231514E0
6.176045100E-1,1.383649707E0,9.526425362E0,5.005186558E0
6.197043320E-1,1.426720500E0,9.449854851E0,5.010570526E0
6.218112150E-1,1.469193101E0,9.416355133E0,5.001597404E0
6.238923110E-1,1.555334687E0,9.387042999E0,4.972883701E0
6.260032130E-1,1.646261930E0,9.410971642E0,4.919643402E0
6.281008990E-1,1.713261008E0,9.419944763E0,4.871787071E0
6.302069680E-1,1.727617979E0,9.443872452E0,4.856831551E0
6.323054480E-1,1.737189293E0,9.496515274E0,4.856233597E0
6.344072140E-1,1.727617979E0,9.520442963E0,4.865804672E0
6.365060000E-1,1.689332843E0,9.563513756E0,4.917848587E0
6.386066680E-1,1.632503271E0,9.558728218E0,4.980660439E0
6.407070390E-1,1.566102386E0,9.573683739E0,5.076373100E0
6.428077270E-1,1.494317770E0,9.544969559E0,5.133800983E0
6.449088820E-1,1.417747378E0,9.483354568E0,5.177470207E0
6.470087270E-1,1.341177106E0,9.421140671E0,5.240880013E0
6.491096280E-1,1.255035520E0,9.364311218E0,5.260620594E0
6.512106700E-1,1.202393413E0,9.317052841E0,5.275575638E0
6.533108290E-1,1.149751306E0,9.269196510E0,5.285745144E0
6.554126780E-1,1.101894855E0,9.273982048E0,5.290530682E0
6.575113520E-1,1.063011408E0,9.259625435E0,5.271388054E0
6.596126080E-1,1.019940615E0,9.288937569E0,5.209175110E0
6.617121350E-1,9.864411354E-1,9.269794464E0,5.157131195E0
6.638132000E-1,9.427721500E-1,9.269794464E0,5.109274387E0
6.659142740E-1,8.847461939E-1,9.260822296E0,5.023731232E0
6.680155630E-1,8.225327730E-1,9.241679192E0,4.951946259E0
6.701147850E-1,7.884350419E-1,9.208179474E0,4.885545731E0
6.722154940E-1,7.639086246E-1,9.165707588E0,4.823930264E0
6.743141870E-1,7.256234884E-1,9.103493690E0,4.757529736E0
6.764070320E-1,6.915257573E-1,9.050851822E0,4.686343193E0
6.785164690E-1,6.807580590E-1,9.003593445E0,4.543372154E0
6.806175010E-1,6.658028960E-1,8.927022934E0,4.367499352E0
6.827206410E-1,6.454638839E-1,8.898308754E0,4.191029072E0
6.848198940E-1,6.065805554E-1,8.860622406E0,4.019343853E0
6.869204300E-1,5.958128572E-1,8.846264839E0,3.870988846E0
6.890225210E-1,5.569294691E-1,8.846264839E0,3.747160196E0
6.911200140E-1,5.132604837E-1,8.846264839E0,3.617947817E0
6.932207740E-1,4.983053207E-1,8.855836868E0,3.469592810E0
6.953211570E-1,4.881358147E-1,8.870791435E0,3.345165968E0
6.974209490E-1,4.348955154E-1,8.880363464E0,3.206980467E0
6.995186050E-1,3.726821244E-1,8.894720078E0,3.111267567E0
7.016272770E-1,2.955136001E-1,8.919246674E0,3.034697294E0
7.037368360E-1,2.374876440E-1,8.924032211E0,2.948555708E0
7.058253780E-1,2.231307179E-1,8.933603287E0,2.895913601E0
7.079238680E-1,2.225325108E-1,8.919246674E0,2.834298372E0
7.100195410E-1,2.273181528E-1,8.895318031E0,2.762513638E0
7.121260880E-1,2.219343036E-1,8.837890625E0,2.676970243E0
7.142265220E-1,1.974078715E-1,8.776275635E0,2.581855536E0
7.163277180E-1,1.537388563E-1,8.737990379E0,2.462812662E0
7.184283850E-1,1.292124242E-1,8.694919586E0,2.334198475E0
7.205280040E-1,9.511470050E-2,8.676374435E0,2.224726915E0
7.226283460E-1,6.101697683E-2,8.638090134E0,2.167897224E0
7.247274470E-1,3.708875179E-2,8.633303642E0,2.172683001E0
7.268296820E-1,3.708875179E-2,8.599804878E0,2.230708838E0
7.289302480E-1,1.854437590E-2,8.561519623E0,2.335993052E0
7.310347490E-1,1.375873014E-2,8.514261246E0,2.437089920E0
7.331438700E-1,2.392822690E-2,8.471190453E0,2.547159672E0
7.352312730E-1,1.495514158E-2,8.461619377E0,2.623729944E0
7.373306780E-1,-1.375873014E-2,8.466404915E0,2.662015200E0
7.394290460E-1,5.982056609E-4,8.480761528E0,2.695514679E0
7.415361330E-1,1.196411322E-3,8.538188934E0,2.690130949E0
7.436386830E-1,2.991028316E-2,8.590232849E0,2.703889608E0
7.457352810E-1,4.426721856E-2,8.642875671E0,2.665006161E0
7.478348500E-1,6.340979785E-2,8.709874153E0,2.626122952E0
7.499353950E-1,7.238288224E-2,8.748159409E0,2.548954248E0
7.520372930E-1,9.152546525E-2,8.766703606E0,2.481955290E0
7.541373800E-1,1.154536903E-1,8.752346992E0,2.448455811E0
7.562379560E-1,1.244267747E-1,8.709276199E0,2.410768747E0
7.583378510E-1,1.483550072E-1,8.685347557E0,2.429911375E0
7.604389860E-1,1.818545163E-1,8.642276764E0,2.435295343E0
7.625388600E-1,1.968096644E-1,8.613563538E0,2.531008244E0
7.646407680E-1,2.015953064E-1,8.589634895E0,2.617149830E0
7.667454030E-1,1.830509305E-1,8.608778000E0,2.684148788E0
7.688421440E-1,1.543370634E-1,8.637491226E0,2.708076954E0
7.709413460E-1,1.256231815E-1,8.661419868E0,2.688336134E0
7.730409050E-1,1.208375469E-1,8.666205406E0,2.650051117E0
7.751403720E-1,1.202393398E-1,8.642875671E0,2.598007202E0
7.772367670E-1,1.585244983E-1,8.627920151E0,2.545365095E0
7.793435470E-1,1.866401732E-1,8.613563538E0,2.492722988E0
7.814441230E-1,2.057827413E-1,8.618349075E0,2.444866419E0
7.835464090E-1,2.297109663E-1,8.623134613E0,2.387438774E0
7.856427730E-1,2.482553422E-1,8.647063255E0,2.325225353E0
7.877307250E-1,2.626122832E-1,8.666205406E0,2.319841623E0
7.898465690E-1,2.919243574E-1,8.708678246E0,2.314457655E0
7.919469310E-1,3.110669553E-1,8.775676727E0,2.294716835E0
7.940511700E-1,3.254238665E-1,8.804390907E0,2.342573404E0
7.961499250E-1,3.349951804E-1,8.842676163E0,2.337189436E0
7.982548950E-1,3.547359705E-1,8.890532494E0,2.370090723E0
8.003495090E-1,3.499503136E-1,8.928219795E0,2.365305185E0
8.024504300E-1,3.547359705E-1,8.947361946E0,2.379063845E0
8.045484330E-1,3.690928817E-1,8.952147484E0,2.398206472E0
8.066491520E-1,3.786641955E-1,8.961718559E0,2.398206472E0
8.087468900E-1,3.930211067E-1,8.928219795E0,2.384447813E0
8.108363970E-1,4.121637046E-1,8.894720078E0,2.370090723E0
8.129530150E-1,4.169493318E-1,8.880363464E0,2.341377020E0
8.150527570E-1,4.067798555E-1,8.827720642E0,2.313261271E0
8.171573810E-1,4.348955154E-1,8.736793518E0,2.271386862E0
8.192580690E-1,4.253242314E-1,8.646464348E0,2.252842426E0
8.213678200E-1,3.960121572E-1,8.569893837E0,2.215753794E0
8.234553850E-1,3.577269912E-1,8.527421951E0,2.215753794E0
8.255552190E-1,3.290131092E-1,8.508278847E0,2.197209358E0
8.276526620E-1,2.859423161E-1,8.532207489E0,2.240280151E0
8.297592080E-1,2.386840582E-1,8.589634895E0,2.306680918E0
8.318681760E-1,1.770688742E-1,8.647063255E0,2.387438774E0
8.339582340E-1,1.339980662E-1,8.690134048E0,2.449054003E0
8.360593090E-1,8.195417374E-2,8.771489143E0,2.520240545E0
8.381560700E-1,4.426721856E-2,8.814560890E0,2.601596355E0
8.402594930E-1,2.572284266E-2,8.848059654E0,2.682354212E0
8.423598460E-1,4.007977992E-2,8.862417221E0,2.763710260E0
8.444611740E-1,7.896314561E-2,8.886344910E0,2.849253654E0
8.465609260E-1,9.870393574E-2,8.881559372E0,2.921038151E0
8.486616350E-1,1.513460279E-1,8.890532494E0,2.982653379E0
8.507626260E-1,1.902294010E-1,8.900103569E0,3.040081263E0
8.528635790E-1,2.285145670E-1,8.885746956E0,3.054438114E0
8.549631180E-1,2.667997181E-1,8.871390343E0,3.059223652E0
8.570642540E-1,3.146561682E-1,8.870791435E0,3.035295486E0
8.591640970E-1,3.571287692E-1,8.861220360E0,2.982653379E0
8.612649560E-1,4.336991012E-1,8.870791435E0,2.929413080E0
8.633628470E-1,4.911268353E-1,8.889336586E0,2.881556749E0
8.654558640E-1,5.341976285E-1,8.937192917E0,2.813959360E0
8.675659620E-1,5.862415433E-1,8.994620323E0,2.765504837E0
8.696682570E-1,6.107679605E-1,9.056235313E0,2.760120869E0
