"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.991451240E-1,1.065654397E0,-3.787364438E-2,-3.069597855E-2
4.012446410E-1,1.076497316E0,-5.115996301E-2,-3.940080851E-2
4.033457050E-1,1.086118460E0,-5.955936015E-2,-5.177082866E-2
4.054460980E-1,1.092074394E0,-6.444628537E-2,-7.009678334E-2
4.075458400E-1,1.099251986E0,-6.673702598E-2,-8.979719132E-2
4.096438110E-1,1.103833556E0,-6.673702598E-2,-1.130100712E-1
4.117367570E-1,1.103680730E0,-6.658431143E-2,-1.411098689E-1
4.138480960E-1,1.103375316E0,-6.520986557E-2,-1.667662114E-1
4.159475230E-1,1.099557400E0,-6.520986557E-2,-1.924225539E-1
4.180499700E-1,1.095739484E0,-6.261368841E-2,-2.156354338E-1
4.201500470E-1,1.091921568E0,-5.650503561E-2,-2.338086665E-1
4.222530340E-1,1.084591269E0,-4.917465150E-2,-2.472477108E-1
4.243512090E-1,1.073595643E0,-3.940080851E-2,-2.519819140E-1
4.264508180E-1,1.061531067E0,-2.611448988E-2,-2.481640130E-1
4.285507030E-1,1.043357849E0,-1.282817032E-2,-2.344195396E-1
4.306496200E-1,1.020450354E0,1.679879380E-3,-2.134974003E-1
4.327435030E-1,9.915869832E-1,2.229658142E-2,-1.849394590E-1
4.348534780E-1,9.566149712E-1,4.046982154E-2,-1.516472995E-1
4.369554580E-1,9.143125415E-1,6.582073122E-2,-1.229366288E-1
4.390620970E-1,8.744536042E-1,9.117163718E-2,-8.704829961E-2
4.411549400E-1,8.335255980E-1,1.117883399E-1,-4.627304152E-2
4.432553230E-1,7.913759351E-1,1.188132912E-1,-3.207042580E-3
4.453549530E-1,7.490735054E-1,1.127046347E-1,4.245513305E-2
4.474566990E-1,7.105889916E-1,9.315694869E-2,8.918632567E-2
4.495583930E-1,6.745479703E-1,6.017022580E-2,1.382082552E-1
4.516573210E-1,6.433938146E-1,2.000583708E-2,1.908953935E-1
4.537554860E-1,6.194173694E-1,-3.481931984E-2,2.458732575E-1
4.558480360E-1,6.064364910E-1,-1.017090604E-1,2.994766831E-1
4.579591400E-1,6.032294035E-1,-1.771509200E-1,3.578143120E-1
4.600596950E-1,6.036875844E-1,-2.658790946E-1,4.112650156E-1
4.621627130E-1,6.137668490E-1,-3.631593883E-1,4.619668424E-1
4.642572770E-1,6.334672570E-1,-4.677700698E-1,5.115996599E-1
4.663475380E-1,6.592763066E-1,-5.734497309E-1,5.584835410E-1
4.684625180E-1,6.838636398E-1,-6.817256212E-1,6.030766964E-1
4.705626970E-1,7.049384713E-1,-7.802276611E-1,6.464481354E-1
4.726677490E-1,7.232644558E-1,-8.665123582E-1,6.814202070E-1
4.747645510E-1,7.441865802E-1,-9.381362796E-1,7.053966522E-1
4.768646590E-1,7.637342811E-1,-9.989174008E-1,7.232644558E-1
4.789647670E-1,7.806857824E-1,-1.054811597E0,7.350236177E-1
